430.02		0.2711		
430.10		0.6575		
430.19		-0.0703		
430.28		-0.0021		
430.37		0.4001		
430.45		0.4860		
430.54		0.0342		
430.63		-0.0602		
430.71		0.4140		
430.80		0.3048		
430.89		-0.0433		
430.97		0.1115		
431.06		0.2041		
431.15		0.5383		
431.23		0.1612		
431.32		0.1354		
431.41		0.7943		
431.49		0.1441		
431.58		0.1442		
431.67		0.2352		
431.76		0.9093		
431.84		0.5434		
431.93		-0.0379		
432.02		-0.0771		
432.10		0.4446		
432.19		0.2338		
432.28		0.2340		
432.36		0.0837		
432.45		0.2887		
432.54		0.4374		
432.62		0.0947		
432.71		0.0051		
432.80		0.1735		
432.88		0.5743		
432.97		0.0290		
433.06		-0.2759		
433.14		0.3253		
433.23		0.2464		
433.32		-0.1492		
433.40		-0.0394		
433.49		0.0618		
433.58		0.0574		
433.66		-0.0595		
433.75		-0.1633		
433.84		0.1546		
433.92		0.5172		
434.01		0.0043		
434.10		-0.2571		
434.18		0.2058		
434.27		-0.0314		
434.36		-0.0226		
434.44		-0.1337		
434.53		0.6531		
434.61		0.4778		
434.70		0.1642		
434.79		0.4606		
434.87		0.5613		
434.96		1.0327		
435.05		0.7185		
435.13		0.9827		
435.22		1.3035		
435.31		1.4859		
435.39		1.2269		
435.48		1.5554		
435.57		1.9090		
435.65		2.4068		
435.74		2.4402		
435.83		2.2621		
435.91		2.8222		
436.00		3.4126		
436.08		3.1016		
436.17		3.5013		
436.26		3.7617		
436.34		4.0922		
436.43		4.1271		
436.52		4.5064		
436.60		4.7498		
436.69		5.2118		
436.78		4.8007		
436.86		4.7405		
436.95		5.3513		
437.03		4.6227		
437.12		4.7721		
437.21		4.9902		
437.29		4.9208		
437.38		4.4501		
437.47		4.1020		
437.55		4.0249		
437.64		3.9458		
437.72		4.1226		
437.81		3.3011		
437.90		2.7764		
437.98		3.0514		
438.07		2.6267		
438.16		2.0151		
438.24		1.7957		
438.33		2.2529		
438.41		1.6924		
438.50		1.5162		
438.59		1.1112		
438.67		1.2667		
438.76		1.4271		
438.85		1.0651		
438.93		1.3528		
439.02		1.9956		
439.10		2.4491		
439.19		2.5299		
439.28		3.0637		
439.36		3.7467		
439.45		4.5451		
439.53		4.9161		
439.62		6.3876		
439.71		8.2484		
439.79		9.0312		
439.88		9.8300		
439.96		10.1479		
440.05		11.5382		
440.14		12.7552		
440.22		14.0502		
440.31		15.1703		
440.39		17.0719		
440.48		19.7151		
440.57		19.9332		
440.65		21.2103		
440.74		22.5477		
440.82		23.3976		
440.91		22.8675		
441.00		24.3249		
441.08		24.4086		
441.17		25.6144		
441.25		25.5242		
441.34		26.0702		
441.43		26.2145		
441.51		26.4515		
441.60		26.5963		
441.68		24.9780		
441.77		24.9104		
441.86		24.1248		
441.94		23.2001		
442.03		21.6500		
442.11		20.3719		
442.20		19.1032		
442.28		18.1673		
442.37		17.1933		
442.46		16.5452		
442.54		14.7728		
442.63		13.4107		
442.71		11.6740		
442.80		11.4845		
442.89		10.0085		
442.97		8.2293		
443.06		7.5029		
443.14		6.3323		
443.23		5.6948		
443.31		4.7933		
443.40		4.1583		
443.49		4.2557		
443.57		4.4929		
443.66		4.1437		
443.74		4.2772		
443.83		4.7670		
443.91		6.2040		
444.00		6.4634		
444.09		7.3345		
444.17		8.8009		
444.26		10.5158		
444.34		11.6221		
444.43		13.2931		
444.51		15.5426		
444.60		17.2242		
444.69		18.8403		
444.77		20.9648		
444.86		25.3315		
444.94		28.0138		
445.03		29.0907		
445.11		28.9916		
445.20		31.2003		
445.28		33.4021		
445.37		33.9591		
445.46		35.4623		
445.54		37.1955		
445.63		38.0937		
445.71		38.3179		
445.80		39.2010		
445.88		40.5059		
445.97		41.3008		
446.05		40.6046		
446.14		40.9609		
446.23		41.2343		
446.31		41.3656		
446.40		40.4686		
446.48		40.1167		
446.57		39.8465		
446.65		39.7633		
446.74		36.8692		
446.82		34.0345		
446.91		31.8254		
446.99		29.2217		
447.08		27.9795		
447.17		25.1170		
447.25		23.7376		
447.34		21.3567		
447.42		19.2052		
447.51		16.9421		
447.59		16.1532		
447.68		14.9363		
447.76		12.2271		
447.85		10.3704		
447.93		9.1150		
448.02		8.0569		
448.10		6.6144		
448.19		5.7741		
448.27		5.8311		
448.36		4.5353		
448.45		4.2463		
448.53		4.2038		
448.62		4.3587		
448.70		4.8875		
